method,count,total_ms,mean_ms
drone_env.DroneEnv._get_frame,26,1960.9632999636233,75.42166538321628
drone_env.DroneEnv._get_drone_state,20,42.70309995627031,2.1351549978135154
lidar_processor.LidarProcessor.compute_sector_distances,20,13.653199886903167,0.6826599943451583
drone_env.DroneEnv._read_lidar_obstacle_state_m,20,245.0948000769131,12.254740003845654
resnet_yolo_tracker.YoloResNetTracker.update,19,1468.5641001560725,77.2928473766354
object_tracker.tracker.update,19,2146.1359999957494,112.95452631556576
drone_env.DroneEnv._get_obstacle_state_m,19,891.1897000507452,46.904721055302375
drone_env.DroneEnv._get_drone_to_target_distance_m,19,74.7102999011986,3.932121047431505
resnet_yolo_tracker.YoloResNetTracker._embedding_from_bbox,12,323.1953000067733,26.93294166723111
object_tracker.tracker.set_target_fingerprint,11,9.415300039108843,0.855936367191713
object_tracker.tracker.set_target_class,11,0.05229987436905503,0.004754534033550458
drone_env.DroneEnv._get_current_yaw_rad,10,19.57230007974431,1.957230007974431
object_tracker.tracker.auto_lock_on_fingerprint,10,1340.0541000883095,134.00541000883095
drone_env.DroneEnv._update_stable_tracking,10,4.064099921379238,0.40640999213792384
observation_builder.ObservationBuilder._compute_target_stability,10,0.049499969463795424,0.004949996946379542
observation_builder.ObservationBuilder._build_detected_target_vision,10,3.0794000485911965,0.30794000485911965
observation_builder.ObservationBuilder._build_drone_state,10,0.15780009562149644,0.015780009562149644
observation_builder.ObservationBuilder._build_obstacle_state,10,0.18699991051107645,0.018699991051107645
observation_builder.ObservationBuilder.build,10,10.786600003484637,1.0786600003484637
drone_env.DroneEnv._compute_safety_phase,9,378.4268999006599,42.04743332229555
drone_env.DroneEnv._compute_visual_lidar_handoff_trigger,9,0.414299953263253,0.04603332814036144
drone_env.DroneEnv._get_downward_frame,9,1548.164399981033,172.01826666455923
drone_env.DroneEnv._update_bottom_stable_tracking,9,0.17779995687305927,0.019755550763673253
drone_env.DroneEnv._scan_bottom_target_candidate_by_fingerprint,9,845.5771000008099,93.95301111120109
drone_env.DroneEnv._update_bottom_full_tracker,9,4323.6979999928735,480.4108888880971
drone_env.DroneEnv._detect_bottom_target_by_fingerprint,9,5021.580800064839,557.9534222294266
drone_env.DroneEnv._update_soft_handoff_state,9,8506.445300008636,945.1605888898484
drone_env.DroneEnv.step,9,18037.62480005389,2004.1805333393213
resnet_yolo_tracker.YoloResNetTracker._candidate_in_search_window,5,0.04859996261075139,0.009719992522150278
resnet_yolo_tracker.YoloResNetTracker._motion_score,5,0.41980011155828834,0.08396002231165767
resnet_yolo_tracker.YoloResNetTracker._smooth_bbox,5,0.08899992099031806,0.017799984198063612
observation_builder.ObservationBuilder.reset,3,0.018199963960796595,0.006066654653598865
object_tracker.tracker.get_target_fingerprint,2,0.7659999537281692,0.3829999768640846
drone_env.DroneEnv._get_alt_agl_m,1,2.2968000266700983,2.2968000266700983
resnet_yolo_tracker.YoloResNetTracker.select_target_by_bbox,1,240.23399996804073,240.23399996804073
resnet_yolo_tracker.YoloResNetTracker.select_target,1,1824.0778000326827,1824.0778000326827
object_tracker.tracker.select_target_and_get_class,1,1857.5227999826893,1857.5227999826893
drone_env.DroneEnv.reset,1,10530.832800024655,10530.832800024655
