wall_s,physical_step,trainable_step,agent,episode_step,reward,done,truncated,termination_reason,tracker_mode,front_mode,bottom_mode,bottom_match,bottom_similarity,bottom_err_x,bottom_err_y,bottom_bbox_rel_err,speed_stage,horizontal_control_state,horizontal_pd_ax,horizontal_pd_ay,horizontal_residual_ax,horizontal_residual_ay,horizontal_final_ax,horizontal_final_ay,horizontal_speed_limit_mps,alignment_ready_streak,descent_alignment_latched,handoff_ready,alt_agl_m,drone_z_ned,target_surface_z_ned,relative_height_to_target_m,vertical_control_state,raw_vz_action,requested_vz_mps,applied_vz_mps,climb_command_blocked,descent_allowed,descent_blocked,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,actual_vx,actual_vy,actual_vz,collision,collision_object,collision_success_path,collision_live_match_at_contact,collision_alignment_latch_age,collision_last_verified_center_error,collision_last_verified_bbox_rel_error,collision_last_verified_similarity,collision_object_matches_target,expected_collision_object_name,collision_reject_reason
38.657,1,0,AGENT_1,,50.0,False,False,,MATCH,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.868612289428711,,,,,,,,,,,0.9,-0.11136824190616608,-0.03784782886505127,0.0,,,,,,,,,,,,,,
40.969,2,0,AGENT_1,,23.727996449311835,False,False,,PRED,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.8574957847595215,,,,,,,,,,,1.8,-0.10434738993644714,-0.046810150146484375,0.0,,,,,,,,,,,,,,
43.016,3,0,AGENT_1,,21.361216934882908,False,False,,PRED,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.8493146896362305,,,,,,,,,,,1.7550000000000001,-0.03745639398694038,-0.05162334442138672,-7.799999825656414,,,,,,,,,,,,,,
45.454,4,0,AGENT_1,,49.52000002145767,False,False,,MATCH,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.836490154266357,,,,,,,,,,,2.3400000000000003,-0.04579260349273682,-0.057130146026611324,-7.799999825656414,,,,,,,,,,,,,,
48.0,5,0,AGENT_1,,50.0,False,False,,MATCH,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.891366481781006,,,,,,,,,,,4.5,-0.07787896692752838,-0.05881209373474121,0.0,,,,,,,,,,,,,,
50.11,6,0,AGENT_1,,-50.0,False,False,,PRED,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.903772354125977,,,,,,,,,,,5.4,0.16478757262229918,-0.05764250755310058,-1.750000026077032,,,,,,,,,,,,,,
52.141,7,0,AGENT_1,,49.52000002145767,False,False,,MATCH,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.8873748779296875,,,,,,,,,,,3.77,0.12093857824802398,-0.05733025074005126,-7.799999825656414,,,,,,,,,,,,,,
54.11,8,0,AGENT_1,,-50.0,False,False,,PRED,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.883704662322998,,,,,,,,,,,5.8,-0.277100658416748,-0.05850617885589599,-1.750000026077032,,,,,,,,,,,,,,
56.266,9,0,AGENT_1,,14.70055230550953,False,False,,PRED,,,False,0.0,0.0,0.0,,,,,,,,,,,,,False,4.885800361633301,,,,,,,,,,,3.77,0.23559472560882566,-0.060140061378479,-7.799999825656414,,,,,,,,,,,,,,
