run_id,attempt,attempt_started_at,target_label,target_physical_area_m2,target_width_m,target_length_m,success,physical_contact,landing_accepted,rpc_latch_success,termination_reason,error_type,error_message,total_flight_steps,agent1_prepare_steps,cooperative_landing_steps,total_flight_duration_s,handoff_step,handoff_time_s,terminal_steps,terminal_duration_s,total_reward,agent1_match_percent_full_flight,agent1_pred_percent_full_flight,agent1_lost_percent_full_flight,bottom_live_match_percent_full_flight,bottom_confirmed_match_percent_full_flight,bottom_live_match_percent_landing_phase,bottom_confirmed_match_percent_landing_phase,bottom_pred_percent_landing_phase,bottom_lost_percent_landing_phase,landing_xy_euclidean_error_m,landing_xy_error_source,collision_xy_threshold_m,center_error_norm_first,center_error_norm_mean,center_error_norm_median,center_error_norm_best,center_error_norm_final,bottom_similarity_mean,bottom_similarity_best,bottom_similarity_final,target_bbox_area_norm_first,target_bbox_area_norm_handoff,target_bbox_area_norm_mean,target_bbox_area_norm_max,target_bbox_area_norm_final,range_valid_percent,range_reliable_percent,minimum_range_m,median_range_m,maximum_reliable_range_spread_m,descent_steps,hold_steps,climb_steps,average_horizontal_speed_mps,maximum_horizontal_speed_mps,average_vertical_command_mps,maximum_descent_command_mps,maximum_climb_command_mps,contact_similarity,contact_corner_similarity,contact_similarity_margin,target_collision_object,target_collision_matches_expected,agent1_model_sha256,agent2_model_sha256,models_unchanged_after_attempt
20260804_222336,1,2026-08-04T22:23:37,unspecified_target,,,,1,1,1,1,landing_collision_success,,,125,51,74,91.59400000004098,66,81.21900000004098,9,10.375,8009.058858317017,98.4,1.6,0.0,94.4,75.2,98.64864864864865,95.94594594594595,1.3513513513513513,0.0,0.11106672518445751,collision_xy_combined,0.45,0.0,0.15408499192735983,0.10655649783067324,0.0,0.15417292279598513,0.901708913133298,0.9914278984069824,0.7399969100952148,0.021166087962962963,0.2545576442586632,0.10757044122211987,0.2551268996954268,0.2551268996954268,91.89189189189189,86.48648648648648,0.09935404047826052,2.544305326704175,0.1898573098343257,70,4,0,1.0390480365420967,1.6,0.1116451430733542,0.35,,0.7399969100952148,0.6708115935325623,0.06918531656265259,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,2,2026-08-04T22:25:09,unspecified_target,,,,1,1,1,1,landing_collision_success,,,121,49,72,86.79700000002049,61,74.26599999994505,12,12.531000000075437,8010.642361033412,100.0,0.0,0.0,95.04132231404958,81.81818181818181,95.83333333333333,94.44444444444444,4.166666666666667,0.0,0.11246216418071016,collision_xy_combined,0.45,0.0,0.14508074355151995,0.09925892497981774,0.0,0.04984013377782184,0.904567532995278,0.9860876798629761,0.6200458407402039,0.01564236111111111,0.1821202607536725,0.09155471149744018,0.18268394763814286,0.18268394763814286,93.05555555555556,90.27777777777777,0.13596171709998953,2.6467625141222575,0.24655792180240876,69,3,0,0.9227263796676204,1.6,0.11673076675066518,0.35,,0.659526526927948,0.573394238948822,0.08613228797912598,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,3,2026-08-04T22:26:35,unspecified_target,,,,1,1,1,1,landing_collision_success,,,123,50,73,88.39000000001397,62,75.89000000001397,12,12.5,8010.851510097104,100.0,0.0,0.0,95.9349593495935,75.60975609756098,100.0,98.63013698630137,0.0,0.0,0.10311356698956657,collision_xy_combined,0.45,0.0,0.12578805855629982,0.09092114969398622,0.0,0.08541666666666667,0.9091645902761125,0.9896825551986694,0.7999107241630554,0.017680844907407407,0.21607839021845898,0.09990506421385115,0.21665865907762155,0.21665865907762155,93.15068493150685,90.41095890410959,0.09240353163237448,2.5379496504580823,0.23222512388640482,70,3,0,1.021790626310561,1.6,0.10969238874234565,0.35,,0.7999107837677002,0.6988205909729004,0.1010901927947998,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,4,2026-08-04T22:28:04,unspecified_target,,,,1,1,1,1,landing_collision_success,,,97,10,87,74.48499999998603,78,63.20299999997951,10,11.28200000000652,8009.782260310805,98.96907216494846,1.0309278350515463,0.0,93.81443298969072,82.47422680412372,96.55172413793103,93.10344827586206,3.4482758620689653,0.0,0.06900814794224114,collision_xy_combined,0.45,0.0,0.13629288310235416,0.09911636341105448,0.0,0.05151990597483868,0.9223932423905233,0.9872316122055054,0.7046353816986084,0.01871527777777778,0.21617775847199786,0.105330503107945,0.21644508184643066,0.20152175010791795,90.80459770114942,77.01149425287356,0.07483363854559553,2.90951477036238,0.21901205800981316,83,4,0,1.0365691647679531,1.6,0.10250229542282804,0.35,,0.6805720329284668,0.623196005821228,0.05737602710723877,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,5,2026-08-04T22:29:18,unspecified_target,,,,1,1,1,1,landing_collision_success,,,123,50,73,88.03200000000652,65,77.48499999998603,9,10.547000000020489,8008.778912913584,100.0,0.0,0.0,95.9349593495935,78.86178861788618,100.0,98.63013698630137,0.0,0.0,0.06662966471143236,collision_xy_combined,0.45,0.0,0.15621703039118226,0.10642103152917108,0.0,0.14796067420470585,0.9105448212062878,0.9891018271446228,0.8308238387107849,0.0184765625,0.21252676860918587,0.0989433483551053,0.2127740015773004,0.2127740015773004,95.89041095890411,83.56164383561644,0.1351903508054356,2.4438644999876837,0.2412658695922163,72,1,0,1.0662401127073444,1.6,0.11616537601061878,0.35,,0.8378007411956787,0.7081122398376465,0.12968850135803223,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,6,2026-08-04T22:30:46,unspecified_target,,,,1,1,1,1,landing_collision_success,,,121,49,72,86.98400000005495,61,74.54599999997299,12,12.438000000081956,8009.842793508391,97.52066115702479,2.479338842975207,0.0,94.21487603305785,75.20661157024793,94.44444444444444,90.27777777777777,5.555555555555555,0.0,0.09753637240752243,collision_xy_combined,0.45,0.0,0.17442163670858998,0.09050765181961286,0.0,0.21560388481307372,0.9083055175098603,0.9877079725265503,0.7605451345443726,0.021296296296296296,0.2296270227707629,0.10249724566128647,0.2310808771625994,0.2310808771625994,94.44444444444444,88.88888888888889,0.06887912605389188,2.461212660074215,0.23067760751149535,69,3,0,0.9933789181678746,1.6,0.11374235939027535,0.35,,0.7605450749397278,0.7142281532287598,0.04631692171096802,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,7,2026-08-04T22:32:13,unspecified_target,,,,1,1,1,1,landing_collision_success,,,123,49,74,88.48399999993853,64,76.68699999991804,11,11.797000000020489,8007.999500678509,99.1869918699187,0.8130081300813008,0.0,95.9349593495935,79.67479674796748,98.64864864864865,95.94594594594595,1.3513513513513513,0.0,0.22210264102063687,collision_xy_combined,0.45,0.0,0.15611533352458362,0.10170140914485928,0.0,0.19486344983549408,0.9163706346052437,0.988110363483429,0.7850639224052429,0.015335648148148149,0.2197085492261175,0.10152019941161072,0.22022067807340742,0.22022067807340742,94.5945945945946,83.78378378378379,0.11227602337034066,2.544543705304049,0.2046643344803094,73,1,0,1.0954354128238875,1.6,0.11419250059570814,0.35,,0.8020181655883789,0.7062094211578369,0.09580874443054199,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,8,2026-08-04T22:33:42,unspecified_target,,,,1,1,1,1,landing_collision_success,,,120,49,71,86.51599999994505,60,73.875,12,12.640999999945052,8010.0829738060365,100.0,0.0,0.0,94.16666666666667,75.0,95.77464788732394,90.14084507042253,4.225352112676056,0.0,0.21550356801998977,collision_xy_combined,0.45,0.0,0.16505178932038192,0.10069204977995476,0.0,0.4185426518156649,0.903800753454058,0.9870815873146057,0.6271169185638428,0.01950665509259259,0.18545305829763425,0.09307020655760502,0.18572111447360337,0.14240230341220012,94.36619718309859,84.50704225352112,0.11344727044586556,2.5954003322262276,0.22972389074802457,68,3,0,0.9351637970516471,1.6,0.11772018923096252,0.35,,0.6652352809906006,0.6766934394836426,-0.011458158493041992,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,9,2026-08-04T22:35:08,unspecified_target,,,,1,1,1,1,landing_collision_success,,,122,49,73,87.92099999997299,67,78.57799999997951,7,9.34299999999348,8009.33806539027,100.0,0.0,0.0,96.72131147540983,76.22950819672131,100.0,98.63013698630137,0.0,0.0,0.17184350466248122,collision_xy_combined,0.45,0.0,0.13953119855420879,0.09920093090593197,0.0,0.07453559924999299,0.9133953822161133,0.9874535799026489,0.7971234917640686,0.012100694444444445,0.23478861094202463,0.10393886052616944,0.23483527105092705,0.2334249803779467,95.89041095890411,93.15068493150685,0.05518992542581027,2.3415644139302043,0.16608341091660295,72,1,0,0.9797743196750097,1.6,0.11012339227820095,0.35,,0.8082908987998962,0.699591338634491,0.10869956016540527,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260804_222336,10,2026-08-04T22:36:36,unspecified_target,,,,1,1,1,1,landing_collision_success,,,120,50,70,86.67200000002049,60,74.85899999993853,11,11.813000000081956,8009.174844548681,100.0,0.0,0.0,95.83333333333333,77.5,100.0,98.57142857142857,0.0,0.0,0.14656672601622583,collision_xy_combined,0.45,0.0,0.16495950015564176,0.09278819969668356,0.0,0.17514083012846096,0.9106551206302691,0.9909471273422241,0.8123787045478821,0.01875,0.22071046814567968,0.0999137964806489,0.221473927619251,0.221473927619251,94.28571428571429,84.28571428571429,0.0657347936786634,2.6039983626237513,0.2099269173583309,69,1,0,1.0229802833464492,1.6,0.12009733716930661,0.35,,0.8123787045478821,0.7196866273880005,0.09269207715988159,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
