tag,step,value
custom/altitude_m,151024,4.990746974945068
custom/altitude_m,152048,4.94319486618042
custom/altitude_m,153072,4.967828750610352
custom/altitude_m,154096,4.759689807891846
custom/altitude_m,155120,5.094066619873047
custom/altitude_m,156144,5.043923377990723
custom/altitude_m,157168,5.042358875274658
custom/altitude_m,158192,4.871058940887451
custom/altitude_m,159216,5.250370502471924
custom/altitude_m,160240,5.042054176330566
custom/altitude_m,161264,4.886903762817383
custom/altitude_m,162288,4.765251636505127
custom/altitude_m,163312,5.2210798263549805
custom/altitude_m,164336,5.12310266494751
custom/altitude_m,165360,4.5417304039001465
custom/altitude_m,166384,5.242034912109375
custom/altitude_m,167408,5.178704261779785
custom/altitude_m,168432,5.034541606903076
custom/altitude_m,169456,5.006412982940674
custom/altitude_m,170480,5.357931613922119
custom/altitude_m,171504,4.757440090179443
custom/altitude_m,172528,5.310077667236328
custom/altitude_m,173552,5.013788223266602
custom/altitude_m,174576,4.959086894989014
custom/altitude_m,175600,5.456188201904297
custom/altitude_m,176624,4.6588239669799805
custom/altitude_m,177648,4.79673433303833
custom/altitude_m,178672,5.273642063140869
custom/altitude_m,179696,5.026749134063721
custom/altitude_m,180720,5.046879768371582
custom/altitude_m,181744,4.9672441482543945
custom/altitude_m,182768,4.794680595397949
custom/altitude_m,183792,4.951259613037109
custom/altitude_m,184816,5.154526710510254
custom/altitude_m,185840,5.1529693603515625
custom/altitude_m,186864,4.83029842376709
custom/altitude_m,187888,5.552789688110352
custom/altitude_m,188912,4.79287576675415
custom/altitude_m,189936,5.20419979095459
custom/altitude_m,190960,4.781743049621582
custom/altitude_m,191984,5.404250144958496
custom/altitude_m,193008,5.1155877113342285
custom/bbox_center_error_norm,151024,0.0
custom/bbox_center_error_norm,152048,0.0
custom/bbox_center_error_norm,153072,0.0
custom/bbox_center_error_norm,154096,0.0
custom/bbox_center_error_norm,155120,0.0
custom/bbox_center_error_norm,156144,0.0
custom/bbox_center_error_norm,157168,0.0
custom/bbox_center_error_norm,158192,0.0
custom/bbox_center_error_norm,159216,0.0
custom/bbox_center_error_norm,160240,0.0
custom/bbox_center_error_norm,161264,0.0
custom/bbox_center_error_norm,162288,0.0
custom/bbox_center_error_norm,163312,0.0
custom/bbox_center_error_norm,164336,0.0
custom/bbox_center_error_norm,165360,0.0
custom/bbox_center_error_norm,166384,0.0
custom/bbox_center_error_norm,167408,0.0
custom/bbox_center_error_norm,168432,0.0
custom/bbox_center_error_norm,169456,0.0
custom/bbox_center_error_norm,170480,0.0
custom/bbox_center_error_norm,171504,0.0
custom/bbox_center_error_norm,172528,0.0
custom/bbox_center_error_norm,173552,0.0
custom/bbox_center_error_norm,174576,0.0
custom/bbox_center_error_norm,175600,0.0
custom/bbox_center_error_norm,176624,0.0
custom/bbox_center_error_norm,177648,0.0
custom/bbox_center_error_norm,178672,0.0
custom/bbox_center_error_norm,179696,0.0
custom/bbox_center_error_norm,180720,0.0
custom/bbox_center_error_norm,181744,0.0
custom/bbox_center_error_norm,182768,0.0
custom/bbox_center_error_norm,183792,0.0
custom/bbox_center_error_norm,184816,0.0
custom/bbox_center_error_norm,185840,0.0
custom/bbox_center_error_norm,186864,0.0
custom/bbox_center_error_norm,187888,0.0
custom/bbox_center_error_norm,188912,0.0
custom/bbox_center_error_norm,189936,0.0
custom/bbox_center_error_norm,190960,0.0
custom/bbox_center_error_norm,191984,0.0
custom/bbox_center_error_norm,193008,0.0
custom/bbox_center_error_x,151024,0.0
custom/bbox_center_error_x,152048,0.0
custom/bbox_center_error_x,153072,0.0
custom/bbox_center_error_x,154096,0.0
custom/bbox_center_error_x,155120,0.0
custom/bbox_center_error_x,156144,0.0
custom/bbox_center_error_x,157168,0.0
custom/bbox_center_error_x,158192,0.0
custom/bbox_center_error_x,159216,0.0
custom/bbox_center_error_x,160240,0.0
custom/bbox_center_error_x,161264,0.0
custom/bbox_center_error_x,162288,0.0
custom/bbox_center_error_x,163312,0.0
custom/bbox_center_error_x,164336,0.0
custom/bbox_center_error_x,165360,0.0
custom/bbox_center_error_x,166384,0.0
custom/bbox_center_error_x,167408,0.0
custom/bbox_center_error_x,168432,0.0
custom/bbox_center_error_x,169456,0.0
custom/bbox_center_error_x,170480,0.0
custom/bbox_center_error_x,171504,0.0
custom/bbox_center_error_x,172528,0.0
custom/bbox_center_error_x,173552,0.0
custom/bbox_center_error_x,174576,0.0
custom/bbox_center_error_x,175600,0.0
custom/bbox_center_error_x,176624,0.0
custom/bbox_center_error_x,177648,0.0
custom/bbox_center_error_x,178672,0.0
custom/bbox_center_error_x,179696,0.0
custom/bbox_center_error_x,180720,0.0
custom/bbox_center_error_x,181744,0.0
custom/bbox_center_error_x,182768,0.0
custom/bbox_center_error_x,183792,0.0
custom/bbox_center_error_x,184816,0.0
custom/bbox_center_error_x,185840,0.0
custom/bbox_center_error_x,186864,0.0
custom/bbox_center_error_x,187888,0.0
custom/bbox_center_error_x,188912,0.0
custom/bbox_center_error_x,189936,0.0
custom/bbox_center_error_x,190960,0.0
custom/bbox_center_error_x,191984,0.0
custom/bbox_center_error_x,193008,0.0
custom/bbox_center_error_y,151024,0.0
custom/bbox_center_error_y,152048,0.0
custom/bbox_center_error_y,153072,0.0
custom/bbox_center_error_y,154096,0.0
custom/bbox_center_error_y,155120,0.0
custom/bbox_center_error_y,156144,0.0
custom/bbox_center_error_y,157168,0.0
custom/bbox_center_error_y,158192,0.0
custom/bbox_center_error_y,159216,0.0
custom/bbox_center_error_y,160240,0.0
custom/bbox_center_error_y,161264,0.0
custom/bbox_center_error_y,162288,0.0
custom/bbox_center_error_y,163312,0.0
custom/bbox_center_error_y,164336,0.0
custom/bbox_center_error_y,165360,0.0
custom/bbox_center_error_y,166384,0.0
custom/bbox_center_error_y,167408,0.0
custom/bbox_center_error_y,168432,0.0
custom/bbox_center_error_y,169456,0.0
custom/bbox_center_error_y,170480,0.0
custom/bbox_center_error_y,171504,0.0
custom/bbox_center_error_y,172528,0.0
custom/bbox_center_error_y,173552,0.0
custom/bbox_center_error_y,174576,0.0
custom/bbox_center_error_y,175600,0.0
custom/bbox_center_error_y,176624,0.0
custom/bbox_center_error_y,177648,0.0
custom/bbox_center_error_y,178672,0.0
custom/bbox_center_error_y,179696,0.0
custom/bbox_center_error_y,180720,0.0
custom/bbox_center_error_y,181744,0.0
custom/bbox_center_error_y,182768,0.0
custom/bbox_center_error_y,183792,0.0
custom/bbox_center_error_y,184816,0.0
