method,count,total_ms,mean_ms
drone_env.DroneEnv._get_frame,41,3013.727900222875,73.50555854202135
resnet_yolo_tracker.YoloResNetTracker.update,35,2586.926800198853,73.9121942913958
object_tracker.tracker.update,35,3702.1106997854076,105.77459142244022
drone_env.DroneEnv._get_drone_state,35,80.54199995240197,2.301199998640056
lidar_processor.LidarProcessor.compute_sector_distances,35,21.607999980915338,0.6173714280261525
drone_env.DroneEnv._read_lidar_obstacle_state_m,35,416.53689986560494,11.901054281874426
drone_env.DroneEnv._get_obstacle_state_m,35,1580.1458999630995,45.147025713231415
drone_env.DroneEnv._get_drone_to_target_distance_m,35,138.47820000955835,3.9565200002730956
resnet_yolo_tracker.YoloResNetTracker._embedding_from_bbox,24,444.00919979671016,18.500383324862923
object_tracker.tracker.set_target_fingerprint,19,16.209300083573908,0.8531210570302057
object_tracker.tracker.set_target_class,19,0.08119986159726977,0.004273676926172094
drone_env.DroneEnv._get_current_yaw_rad,18,36.36660013580695,2.020366674211497
object_tracker.tracker.auto_lock_on_fingerprint,18,1795.0068999780342,99.72260555433523
drone_env.DroneEnv._update_stable_tracking,18,4.9974999856203794,0.2776388880900211
observation_builder.ObservationBuilder._compute_target_stability,18,0.10400003520771861,0.005777779733762145
observation_builder.ObservationBuilder._build_detected_target_vision,18,6.549499812535942,0.3638611006964412
observation_builder.ObservationBuilder._build_drone_state,18,0.36259996704757214,0.020144442613754008
observation_builder.ObservationBuilder._build_obstacle_state,18,0.40089996764436364,0.022272220424686868
observation_builder.ObservationBuilder.build,18,26.202900044154376,1.4557166691196874
drone_env.DroneEnv._compute_safety_phase,17,649.011300120037,38.17713530117865
drone_env.DroneEnv._compute_visual_lidar_handoff_trigger,17,1.366599986795336,0.0803882345173727
drone_env.DroneEnv._get_downward_frame,17,2712.1201998670585,159.5364823451211
drone_env.DroneEnv._update_bottom_stable_tracking,17,0.41830004192888737,0.024605884819346314
drone_env.DroneEnv._scan_bottom_target_candidate_by_fingerprint,17,1347.8694999939762,79.28644117611624
drone_env.DroneEnv._update_bottom_full_tracker,17,6882.985899981577,404.88152352832805
drone_env.DroneEnv._detect_bottom_target_by_fingerprint,17,8013.48450005753,471.3814411798547
drone_env.DroneEnv._update_soft_handoff_state,17,14073.165900015738,827.8332882362199
drone_env.DroneEnv.step,17,31171.52040003566,1833.6188470609213
resnet_yolo_tracker.YoloResNetTracker._candidate_in_search_window,11,0.16790005611255765,0.015263641464777968
resnet_yolo_tracker.YoloResNetTracker._motion_score,11,0.34359999699518085,0.03123636336319826
resnet_yolo_tracker.YoloResNetTracker._smooth_bbox,11,0.09679998038336635,0.008799998216669668
observation_builder.ObservationBuilder.reset,3,0.018600025214254856,0.006200008404751618
object_tracker.tracker.get_target_fingerprint,2,0.49669999862089753,0.24834999931044877
drone_env.DroneEnv._get_alt_agl_m,1,240.20900001050904,240.20900001050904
resnet_yolo_tracker.YoloResNetTracker.select_target_by_bbox,1,243.84399998234585,243.84399998234585
resnet_yolo_tracker.YoloResNetTracker.select_target,1,1764.2520999652334,1764.2520999652334
object_tracker.tracker.select_target_and_get_class,1,1801.3684999896213,1801.3684999896213
drone_env.DroneEnv.reset,1,10927.015599969309,10927.015599969309
