run_id,attempt,attempt_started_at,target_label,target_physical_area_m2,target_width_m,target_length_m,initial_altitude_m,success,physical_contact,landing_accepted,rpc_latch_success,termination_reason,failure_reason,error_type,error_message,total_flight_steps,agent1_prepare_steps,cooperative_landing_steps,total_flight_duration_s,handoff_step,handoff_time_s,terminal_steps,terminal_duration_s,total_reward,agent1_match_percent_full_flight,agent1_pred_percent_full_flight,agent1_lost_percent_full_flight,bottom_live_match_percent_full_flight,bottom_confirmed_match_percent_full_flight,bottom_live_match_percent_landing_phase,bottom_confirmed_match_percent_landing_phase,bottom_pred_percent_landing_phase,bottom_lost_percent_landing_phase,landing_xy_euclidean_error_m,landing_xy_error_source,collision_xy_threshold_m,center_error_norm_first,center_error_norm_mean,center_error_norm_median,center_error_norm_best,center_error_norm_final,bottom_similarity_mean,bottom_similarity_best,bottom_similarity_final,target_bbox_area_norm_first,target_bbox_area_norm_handoff,target_bbox_area_norm_mean,target_bbox_area_norm_max,target_bbox_area_norm_final,range_valid_percent,range_reliable_percent,minimum_range_m,median_range_m,maximum_reliable_range_spread_m,descent_steps,hold_steps,climb_steps,average_horizontal_speed_mps,maximum_horizontal_speed_mps,average_vertical_command_mps,maximum_descent_command_mps,maximum_climb_command_mps,contact_similarity,contact_corner_similarity,contact_similarity_margin,target_collision_object,target_collision_matches_expected,agent1_model_sha256,agent2_model_sha256,models_unchanged_after_attempt
20260805_180000,1,2026-08-05T18:00:01,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,95,53,42,65.85999999986961,36,57.0,7,8.859999999869615,8005.382454159196,96.84210526315789,3.1578947368421053,0.0,88.42105263157895,70.52631578947368,90.47619047619048,88.0952380952381,9.523809523809524,0.0,0.2298483158041592,collision_xy_combined,0.45,0.0,0.1881111446829302,0.13180107953060335,0.0,0.23030817878674872,0.8538595065837522,0.9855602383613586,0.7579084634780884,0.03259982638888889,0.20541443561778847,0.10086968946598104,0.20541443561778847,0.19524716137742265,88.0952380952381,80.95238095238095,0.053237139515027586,1.735579891552737,0.09151626571183824,35,7,0,1.0034838703169893,1.6,0.1418921757950669,0.35,,0.7579085826873779,0.679357647895813,0.07855093479156494,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,2,2026-08-05T18:01:06,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,117,71,46,75.75,39,66.39099999982864,8,9.359000000171363,8004.348714819647,98.2905982905983,1.7094017094017093,0.0,93.16239316239316,76.92307692307692,95.65217391304348,93.47826086956522,4.3478260869565215,0.0,0.06502103414340595,collision_xy_combined,0.45,0.0,0.16959963699000105,0.11270865172063427,0.0,0.11270865172063427,0.8659612904113367,0.9846007823944092,0.7182091474533081,0.028103298611111112,0.19104800728100432,0.10077085513146922,0.1914823323991422,0.1914823323991422,93.47826086956522,86.95652173913044,0.14723640751403239,1.5557258458335719,0.22003243435438646,43,3,0,1.031808416480353,1.6,0.12272291909903284,0.35,,0.7265845537185669,0.6359801292419434,0.09060442447662354,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,3,2026-08-05T18:02:22,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,120,69,51,79.0319999998901,34,63.234999999869615,18,15.797000000020489,8003.521082083918,100.0,0.0,0.0,90.0,72.5,88.23529411764706,76.47058823529412,11.764705882352942,0.0,0.1598601202086593,collision_xy_combined,0.45,0.0,0.2719663100266483,0.14675490939139244,0.0,0.057560396688828584,0.8538882403453011,0.9836594462394714,0.8015016317367554,0.024076967592592594,0.19272833547536458,0.09380771615249343,0.19272833547536458,0.17113369918746077,86.27450980392157,70.58823529411765,0.07911034409488843,1.434943770974241,0.23732338585430401,38,13,0,0.917323282557993,1.6,0.10741459939847971,0.35,,0.8015016317367554,0.7402471899986267,0.06125444173812866,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,4,2026-08-05T18:03:41,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,106,61,45,73.32799999997951,33,60.25,13,13.077999999979511,8004.635686601536,100.0,0.0,0.0,90.56603773584905,77.35849056603773,91.11111111111111,82.22222222222223,8.88888888888889,0.0,0.18471187091966437,collision_xy_combined,0.45,0.0,0.23797914977315776,0.11467378584704452,0.0,0.7310404258415643,0.8510923816602561,0.9854139089584351,0.6878962516784668,0.027144097222222222,0.17851850757987653,0.08958331518754553,0.17998924388517076,0.06124445020341598,97.77777777777777,84.44444444444444,0.05506048456636267,1.3216316151475611,0.2414897010006718,43,2,0,1.0226203927228177,2.1549103507216083,0.15287583673828176,0.35,,0.6591832637786865,0.6413040161132812,0.017879247665405273,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,5,2026-08-05T18:04:55,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,106,64,42,75.89000000013039,31,63.890000000130385,12,12.0,8004.902314819725,96.22641509433963,3.7735849056603774,0.0,91.50943396226415,75.47169811320755,88.0952380952381,80.95238095238095,11.904761904761905,0.0,0.23814427008908537,collision_xy_combined,0.45,0.0,0.16753376431369088,0.08755911734476475,0.0,0.06976874427040652,0.8626727905921153,0.9825630187988281,0.7196288108825684,0.029137731481481483,0.18349926993178997,0.09687428298423519,0.18630655958762804,0.18630655958762804,90.47619047619048,85.71428571428571,0.08588572737194994,1.6701125923118703,0.2437407385124185,40,2,0,0.9516780618056023,1.6,0.14070779107333645,0.35,,0.722630500793457,0.6976672410964966,0.02496325969696045,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,6,2026-08-05T18:06:11,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,109,70,39,77.125,34,68.84400000004098,6,8.280999999959022,8004.924330806089,97.24770642201835,2.7522935779816513,0.0,91.74311926605505,75.22935779816514,92.3076923076923,84.61538461538461,7.6923076923076925,0.0,0.0511826195563902,collision_xy_combined,0.45,0.0,0.17726157788300273,0.0909713378547308,0.0,0.03339934765238982,0.8570834280141018,0.9840186238288879,0.7657541036605835,0.0274609375,0.17032661305756644,0.09151774241587857,0.1704671518829949,0.1704671518829949,94.87179487179488,94.87179487179488,0.07452979451018284,1.5268808676247991,0.23137216058698495,38,1,0,0.9976553103120042,1.6,0.16075171495286314,0.35,,0.7657541036605835,0.7107859253883362,0.054968178272247314,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,7,2026-08-05T18:07:28,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,104,61,43,74.70299999997951,28,59.35899999993853,16,15.344000000040978,8005.767153190106,99.03846153846153,0.9615384615384616,0.0,92.3076923076923,75.0,95.34883720930233,93.02325581395348,4.651162790697675,0.0,0.08737438956089903,collision_xy_combined,0.45,0.0,0.1901592799519326,0.08772293029761374,0.0,0.05883510079003705,0.8619501888955019,0.9844106435775757,0.6989960670471191,0.031351273148148145,0.20131800406350353,0.10800504937818119,0.2185996292089112,0.21809810560878895,79.06976744186046,74.4186046511628,0.07924345636367519,1.6882940718161144,0.2046976069656692,37,6,0,0.9158728903833157,1.6,0.13064908515748588,0.35,,0.6862599849700928,0.7011699676513672,-0.014909982681274414,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,8,2026-08-05T18:08:42,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,113,66,47,78.04700000002049,43,70.81200000015087,5,7.234999999869615,8003.716760732391,95.57522123893806,4.424778761061947,0.0,90.26548672566372,75.22123893805309,91.48936170212765,82.97872340425532,8.51063829787234,0.0,0.1448665311644112,collision_xy_combined,0.45,0.0,0.2004190502360521,0.11070130912462132,0.0,0.0591715976688057,0.8614979229724871,0.9865014553070068,0.739843487739563,0.0234375,0.19220846530236654,0.10402059538243691,0.19222442107528978,0.19222442107528978,93.61702127659575,87.23404255319149,0.12073655724229136,1.464853819176426,0.1748578847948714,39,8,0,0.9735781888313021,1.6,0.118241300777869,0.35,,0.739843487739563,0.6778043508529663,0.06203913688659668,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,9,2026-08-05T18:10:00,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,95,51,44,64.07799999997951,34,53.156999999890104,11,10.921000000089407,8005.40986441475,98.94736842105263,1.0526315789473684,0.0,92.63157894736842,68.42105263157895,97.72727272727273,90.9090909090909,2.272727272727273,0.0,0.16031063843658763,collision_xy_combined,0.45,0.0,0.25595071963504645,0.12726738026533563,0.0,0.07128210912837893,0.8621746879930523,0.9877264499664307,0.771766185760498,0.022601273148148148,0.19357907102340202,0.10339475081504589,0.19462775675387092,0.19388426758132515,84.0909090909091,79.54545454545455,0.05842294611838889,1.4487153731648574,0.24851773616626405,37,7,0,1.0172982925827103,1.6,0.1389546643129804,0.35,,0.7788236737251282,0.6913462281227112,0.08747744560241699,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_180000,10,2026-08-05T18:11:04,BMW_X6M_Scale_0.75,,,,3.0,1,1,1,1,landing_collision_success,,,,95,52,43,63.64100000006147,34,53.313000000081956,10,10.327999999979511,8004.698119965188,96.84210526315789,3.1578947368421053,0.0,90.52631578947368,71.57894736842105,93.02325581395348,90.69767441860465,6.976744186046512,0.0,0.22660961885544886,collision_xy_combined,0.45,0.0,0.1897709212448246,0.12489321887960118,0.0,0.059262038813147656,0.8622521148563638,0.9881782531738281,0.7399587631225586,0.0292578125,0.17702563261188045,0.09759902616162662,0.17921600503289684,0.17921600503289684,88.37209302325581,79.06976744186046,0.08711050680118876,1.8030525560572515,0.20789364113886366,37,6,0,1.0692536573689475,1.6,0.14225090308591376,0.35,,0.7399587631225586,0.7113956212997437,0.02856314182281494,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
