run_id,attempt,attempt_started_at,target_label,target_physical_area_m2,target_width_m,target_length_m,initial_altitude_m,success,physical_contact,landing_accepted,rpc_latch_success,termination_reason,failure_reason,error_type,error_message,total_flight_steps,agent1_prepare_steps,cooperative_landing_steps,total_flight_duration_s,handoff_step,handoff_time_s,terminal_steps,terminal_duration_s,total_reward,agent1_match_percent_full_flight,agent1_pred_percent_full_flight,agent1_lost_percent_full_flight,bottom_live_match_percent_full_flight,bottom_confirmed_match_percent_full_flight,bottom_live_match_percent_landing_phase,bottom_confirmed_match_percent_landing_phase,bottom_pred_percent_landing_phase,bottom_lost_percent_landing_phase,landing_xy_euclidean_error_m,landing_xy_error_source,collision_xy_threshold_m,center_error_norm_first,center_error_norm_mean,center_error_norm_median,center_error_norm_best,center_error_norm_final,bottom_similarity_mean,bottom_similarity_best,bottom_similarity_final,target_bbox_area_norm_first,target_bbox_area_norm_handoff,target_bbox_area_norm_mean,target_bbox_area_norm_max,target_bbox_area_norm_final,range_valid_percent,range_reliable_percent,minimum_range_m,median_range_m,maximum_reliable_range_spread_m,descent_steps,hold_steps,climb_steps,average_horizontal_speed_mps,maximum_horizontal_speed_mps,average_vertical_command_mps,maximum_descent_command_mps,maximum_climb_command_mps,contact_similarity,contact_corner_similarity,contact_similarity_margin,target_collision_object,target_collision_matches_expected,agent1_model_sha256,agent2_model_sha256,models_unchanged_after_attempt
20260805_143108,1,2026-08-05T14:31:09,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,129,69,60,88.68700000015087,47,75.20299999997951,14,13.484000000171363,8005.8939175698815,97.67441860465117,2.3255813953488373,0.0,93.02325581395348,86.04651162790698,96.66666666666667,88.33333333333333,3.3333333333333335,0.0,0.2334114824366009,collision_xy_combined,0.45,0.0,0.1318044573466086,0.0945726509304479,0.0,0.06598318622344279,0.8921603082240943,0.9861549735069275,0.7757339477539062,0.0298046875,0.19767577992215526,0.0978641590919676,0.1999435570421863,0.1999435570421863,93.33333333333333,76.66666666666667,0.06380163337323168,1.872786031837155,0.23881129990444716,56,4,0,1.0108204621313386,1.6,0.11858896244813998,0.35,,0.7757339477539062,0.756912112236023,0.0188218355178833,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,2,2026-08-05T14:32:37,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,124,68,56,84.90599999995902,46,73.04700000002049,11,11.858999999938533,8006.430070870578,97.58064516129032,2.4193548387096775,0.0,95.16129032258064,79.83870967741936,100.0,98.21428571428571,0.0,0.0,0.1948555444091183,collision_xy_combined,0.45,0.0,0.1321410419083147,0.09916196307259066,0.0,0.2628057082290599,0.8946918269178374,0.9894213080406189,0.8081284761428833,0.018003472222222223,0.2104720328243652,0.10033731539452455,0.21202452548741552,0.21202452548741552,89.28571428571429,82.14285714285714,0.061531781519752075,1.9735407496240034,0.21448002580180736,55,1,0,1.0194354568535655,1.6,0.12854026619078857,0.35,,0.8056930899620056,0.7059825658798218,0.09971052408218384,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,3,2026-08-05T14:34:02,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,125,65,60,85.65600000019185,53,75.86000000010245,8,9.796000000089407,8006.189233711644,100.0,0.0,0.0,95.2,86.4,96.66666666666667,95.0,3.3333333333333335,0.0,0.18259407961905408,collision_xy_combined,0.45,0.0,0.13390559272380514,0.08829008375173787,0.0,0.034747472159487564,0.8973555631682314,0.9860754013061523,0.7166265249252319,0.023346354166666666,0.19981205857942433,0.09725224593604086,0.19993983983669616,0.19993983983669616,90.0,80.0,0.0656929087260875,2.1611073389115814,0.20953172331042502,58,2,0,0.9879293378075295,1.6,0.11656786387289562,0.35,,0.7423058748245239,0.7470829486846924,-0.004777073860168457,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,4,2026-08-05T14:35:28,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,122,65,57,83.85900000017136,47,72.48400000017136,11,11.375,8006.840602084983,100.0,0.0,0.0,96.72131147540983,79.50819672131148,98.24561403508773,96.49122807017544,1.7543859649122806,0.0,0.23127913106477177,collision_xy_combined,0.45,0.04229987605051448,0.18112350531056814,0.08700255424092125,0.009375,0.3376456553572752,0.8998147106596396,0.9850236773490906,0.7091565132141113,0.005694444444444445,0.18387549932874175,0.08893821741461067,0.18459999576029987,0.16264653083489572,89.47368421052632,87.71929824561404,0.0900426935467124,2.082077945264039,0.23925203178100363,56,1,0,1.0103076785532652,1.6,0.13006244448716178,0.35,,0.7000539302825928,0.6974042654037476,0.002649664878845215,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,5,2026-08-05T14:36:52,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,124,66,58,85.17200000002049,47,72.8289999999106,12,12.343000000109896,8006.773672197413,100.0,0.0,0.0,96.7741935483871,87.09677419354838,100.0,98.27586206896552,0.0,0.0,0.08050796379553564,collision_xy_combined,0.45,0.044521688517584215,0.14497374645716435,0.0871758151430165,0.008398185154477657,0.09027777777777778,0.898019415707283,0.9823469519615173,0.8309276103973389,0.005694444444444445,0.22125141496957643,0.09575436472748203,0.22555215829805395,0.22555215829805395,89.65517241379311,77.58620689655173,0.13094579937911383,2.0545661213075848,0.20871041284662972,55,3,0,1.046190689453666,1.6,0.12509963076433228,0.35,,0.8309276103973389,0.7319761514663696,0.09895145893096924,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,6,2026-08-05T14:38:17,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,128,68,60,87.48499999986961,51,76.84399999980815,10,10.641000000061467,8006.510924152265,98.4375,1.5625,0.0,95.3125,80.46875,96.66666666666667,88.33333333333333,3.3333333333333335,0.0,0.1654360918429712,collision_xy_combined,0.45,0.03807588923517589,0.1645430127800807,0.09835262693353104,0.012192395740332942,0.12991541125590192,0.8897600395110765,0.9833502769470215,0.7748385667800903,0.005575810185185185,0.2544987490764898,0.10302918616119353,0.25565225850764867,0.25565225850764867,91.66666666666667,76.66666666666667,0.14488255968323846,2.026454033373205,0.24485350774251113,57,3,0,1.0647125730660885,1.6,0.123362746955206,0.35,,0.8157856464385986,0.6373891830444336,0.17839646339416504,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,7,2026-08-05T14:39:44,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,125,67,58,83.81299999984913,48,72.29699999978766,11,11.516000000061467,8005.922121057878,96.8,3.2,0.0,92.8,80.8,93.10344827586206,89.65517241379311,6.896551724137931,0.0,0.18275078646889825,collision_xy_combined,0.45,0.0,0.13987950193252585,0.09848411177888813,0.0,0.06545724151193572,0.8896860816182046,0.986520528793335,0.7050082683563232,0.024140625,0.21513032044037572,0.09960383834148234,0.21654794545977388,0.21654794545977388,91.37931034482759,81.03448275862068,0.07593076825771924,2.049497109757367,0.22808760035611142,56,2,0,0.9996554532666582,1.6,0.12433447680468188,0.35,,0.7404619455337524,0.6974316835403442,0.0430302619934082,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,8,2026-08-05T14:41:08,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,122,65,57,83.81200000015087,49,72.43700000015087,9,11.375,8007.022734756094,99.18032786885246,0.819672131147541,0.0,92.62295081967213,81.9672131147541,92.98245614035088,87.71929824561404,7.017543859649122,0.0,0.22021950164545268,collision_xy_combined,0.45,0.0,0.14587330114358843,0.09072073487417918,0.0,0.05034854791245349,0.8907065331547672,0.9882209897041321,0.6847962737083435,0.024140625,0.22784150833428057,0.10140522399777999,0.2290433840923611,0.2290433840923611,94.73684210526316,78.94736842105263,0.055220654061308924,2.0264299168291715,0.2280665005040996,54,3,0,0.954974202735453,1.6,0.12659876943026718,0.35,,0.6323372721672058,0.6287739276885986,0.0035633444786071777,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,9,2026-08-05T14:42:32,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,123,66,57,83.31200000015087,51,74.65599999995902,7,8.656000000191852,8008.103750689683,99.1869918699187,0.8130081300813008,0.0,94.3089430894309,86.17886178861788,96.49122807017544,94.73684210526316,3.508771929824561,0.0,0.0928227574401014,collision_xy_combined,0.45,0.0,0.1470868251596732,0.10100926090049882,0.0,0.24905161500886616,0.8859325828465573,0.9830235242843628,0.6859039068222046,0.029654224537037036,0.2054538712911502,0.09165799015915009,0.20557777828961357,0.09454532617373236,92.98245614035088,89.47368421052632,0.05220347101092339,2.0728588686915073,0.24136716032854277,56,1,0,0.9511120696266969,1.6,0.12940036779563677,0.35,,0.6546609401702881,0.6757590174674988,-0.021098077297210693,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
20260805_143108,10,2026-08-05T14:43:55,BMW_X6M_Scale_0.85,,,,4.0,1,1,1,1,landing_collision_success,,,,82,9,73,62.35900000017136,64,51.71900000004098,10,10.640000000130385,8009.681084899946,100.0,0.0,0.0,91.46341463414635,68.29268292682927,98.63013698630137,95.89041095890411,1.36986301369863,0.0,0.09706095574548655,collision_xy_combined,0.45,0.0,0.16193562185802804,0.09382058116424662,0.0,0.20004339806929675,0.9093746964311334,0.9872267246246338,0.7187452912330627,0.027633101851851853,0.20541498419901574,0.10237983951881081,0.2062682207553802,0.2062682207553802,94.52054794520548,90.41095890410959,0.06783102386179987,2.4455916290200777,0.24053070986788283,65,8,0,1.0453742542022473,1.6,0.10661372750997543,0.35,,0.7356269359588623,0.6890411972999573,0.04658573865890503,BP_X6M_C_1,1,c228b69f45473525ee98381dab957a720389a8a020c15da11c2a06b1fff37c75,f71a82307640a718a7d07163a1f2b31719417336f96d218a1f85141f0900fca7,1
