tag,step,value
custom/altitude_m,261024,4.543249130249023
custom/altitude_m,262048,4.737968444824219
custom/altitude_m,263072,4.563901901245117
custom/altitude_m,264096,4.61605167388916
custom/altitude_m,265120,4.446038246154785
custom/altitude_m,266144,4.453865051269531
custom/altitude_m,267168,4.5566816329956055
custom/altitude_m,268192,4.477609157562256
custom/altitude_m,269216,4.495594024658203
custom/bbox_center_error_norm,261024,0.2544745206832886
custom/bbox_center_error_norm,262048,0.7851879000663757
custom/bbox_center_error_norm,263072,0.49763375520706177
custom/bbox_center_error_norm,264096,0.9314845204353333
custom/bbox_center_error_norm,265120,0.09614823758602142
custom/bbox_center_error_norm,266144,0.41610535979270935
custom/bbox_center_error_norm,267168,0.43577340245246887
custom/bbox_center_error_norm,268192,0.39750877022743225
custom/bbox_center_error_norm,269216,0.308671772480011
custom/bbox_center_error_x,261024,-0.01979166641831398
custom/bbox_center_error_x,262048,-0.0020833334419876337
custom/bbox_center_error_x,263072,-0.05624999850988388
custom/bbox_center_error_x,264096,-0.21041665971279144
custom/bbox_center_error_x,265120,0.05104166641831398
custom/bbox_center_error_x,266144,0.05104166641831398
custom/bbox_center_error_x,267168,-0.0729166641831398
custom/bbox_center_error_x,268192,-0.10520832985639572
custom/bbox_center_error_x,269216,-0.04374999925494194
custom/bbox_center_error_y,261024,-0.2537037134170532
custom/bbox_center_error_y,262048,0.7851851582527161
custom/bbox_center_error_y,263072,-0.49444442987442017
custom/bbox_center_error_y,264096,-0.9074074029922485
custom/bbox_center_error_y,265120,-0.08148147910833359
custom/bbox_center_error_y,266144,-0.41296297311782837
custom/bbox_center_error_y,267168,-0.4296296238899231
custom/bbox_center_error_y,268192,-0.38333332538604736
custom/bbox_center_error_y,269216,-0.3055555522441864
custom/down_dist_m,261024,4.543249130249023
custom/down_dist_m,262048,4.737968444824219
custom/down_dist_m,263072,4.563901901245117
custom/down_dist_m,264096,4.61605167388916
custom/down_dist_m,265120,4.446038246154785
custom/down_dist_m,266144,4.453865051269531
custom/down_dist_m,267168,4.5566816329956055
custom/down_dist_m,268192,4.477609157562256
custom/down_dist_m,269216,4.495594024658203
custom/flight_smoothness,261024,0.4516057074069977
custom/flight_smoothness,262048,0.622825562953949
custom/flight_smoothness,263072,0.355721116065979
custom/flight_smoothness,264096,0.4049583077430725
custom/flight_smoothness,265120,1.0
custom/flight_smoothness,266144,1.0
custom/flight_smoothness,267168,1.0
custom/flight_smoothness,268192,1.0
custom/flight_smoothness,269216,0.6088470220565796
custom/lidar_point_count,261024,5626.0
custom/lidar_point_count,262048,5677.0
custom/lidar_point_count,263072,5671.0
custom/lidar_point_count,264096,5542.0
custom/lidar_point_count,265120,5699.0
custom/lidar_point_count,266144,5768.0
custom/lidar_point_count,267168,5562.0
custom/lidar_point_count,268192,5667.0
custom/lidar_point_count,269216,5684.0
custom/lidar_valid,261024,1.0
custom/lidar_valid,262048,1.0
custom/lidar_valid,263072,1.0
custom/lidar_valid,264096,1.0
custom/lidar_valid,265120,1.0
custom/lidar_valid,266144,1.0
custom/lidar_valid,267168,1.0
custom/lidar_valid,268192,1.0
custom/lidar_valid,269216,1.0
custom/match_pct,261024,96.7741928100586
custom/match_pct,262048,76.47058868408203
custom/match_pct,263072,94.0
custom/match_pct,264096,83.33333587646484
custom/match_pct,265120,95.9459457397461
custom/match_pct,266144,93.65079498291016
custom/match_pct,267168,91.80327606201172
custom/match_pct,268192,82.45613861083984
custom/match_pct,269216,90.90908813476562
custom/min_obstacle_dist_m,261024,20.0
custom/min_obstacle_dist_m,262048,20.0
custom/min_obstacle_dist_m,263072,13.735260009765625
custom/min_obstacle_dist_m,264096,18.573705673217773
custom/min_obstacle_dist_m,265120,9.023789405822754
custom/min_obstacle_dist_m,266144,11.354665756225586
custom/min_obstacle_dist_m,267168,20.0
custom/min_obstacle_dist_m,268192,11.750435829162598
custom/min_obstacle_dist_m,269216,20.0
custom/none_pct,261024,0.0
custom/none_pct,262048,0.0
custom/none_pct,263072,0.0
custom/none_pct,264096,0.0
custom/none_pct,265120,0.0
custom/none_pct,266144,0.0
custom/none_pct,267168,0.0
custom/none_pct,268192,0.0
custom/none_pct,269216,0.0
custom/pred_pct,261024,3.225806474685669
custom/pred_pct,262048,23.52941131591797
custom/pred_pct,263072,6.0
custom/pred_pct,264096,16.66666603088379
custom/pred_pct,265120,4.054054260253906
custom/pred_pct,266144,6.349206447601318
custom/pred_pct,267168,8.196721076965332
custom/pred_pct,268192,17.543859481811523
custom/pred_pct,269216,9.090909004211426
custom/reward,261024,50.0
custom/reward,262048,50.0
custom/reward,263072,50.0
custom/reward,264096,50.0
custom/reward,265120,50.0
custom/reward,266144,50.0
custom/reward,267168,50.0
custom/reward,268192,50.0
custom/reward,269216,50.0
custom/safety_intervention,261024,0.0
custom/safety_intervention,262048,0.0
custom/safety_intervention,263072,0.0
custom/safety_intervention,264096,0.0
custom/safety_intervention,265120,0.0
custom/safety_intervention,266144,0.0
custom/safety_intervention,267168,0.0
custom/safety_intervention,268192,0.0
custom/safety_intervention,269216,0.0
rollout/ep_len_mean,261024,361.69000244140625
rollout/ep_len_mean,262048,330.1099853515625
rollout/ep_len_mean,263072,297.510009765625
rollout/ep_len_mean,264096,243.9499969482422
rollout/ep_len_mean,265120,190.3800048828125
rollout/ep_len_mean,266144,143.52999877929688
rollout/ep_len_mean,267168,106.83000183105469
rollout/ep_len_mean,268192,78.26000213623047
rollout/ep_len_mean,269216,78.97000122070312
rollout/ep_rew_mean,261024,5572.5927734375
rollout/ep_rew_mean,262048,6803.51025390625
rollout/ep_rew_mean,263072,6739.70263671875
rollout/ep_rew_mean,264096,6741.59912109375
rollout/ep_rew_mean,265120,6216.708984375
rollout/ep_rew_mean,266144,5352.138671875
rollout/ep_rew_mean,267168,4342.6123046875
rollout/ep_rew_mean,268192,3521.544189453125
rollout/ep_rew_mean,269216,3549.677734375
time/fps,261024,1.0
time/fps,262048,1.0
time/fps,263072,1.0
time/fps,264096,1.0
time/fps,265120,1.0
time/fps,266144,1.0
time/fps,267168,1.0
time/fps,268192,1.0
time/fps,269216,1.0
train/approx_kl,262048,0.00014597392873838544
train/approx_kl,263072,0.0002520647249184549
train/approx_kl,264096,0.0003003353485837579
train/approx_kl,265120,0.00010952097363770008
train/approx_kl,266144,6.0590216889977455e-05
train/approx_kl,267168,0.0001603512791916728
train/approx_kl,268192,0.00010130053851753473
train/approx_kl,269216,4.235666710883379e-05
train/clip_fraction,262048,0.0
train/clip_fraction,263072,0.0
train/clip_fraction,264096,0.0
train/clip_fraction,265120,0.0
train/clip_fraction,266144,0.0
train/clip_fraction,267168,0.0
train/clip_fraction,268192,0.0
train/clip_fraction,269216,0.0
train/clip_range,262048,0.20000000298023224
train/clip_range,263072,0.20000000298023224
train/clip_range,264096,0.20000000298023224
train/clip_range,265120,0.20000000298023224
train/clip_range,266144,0.20000000298023224
train/clip_range,267168,0.20000000298023224
train/clip_range,268192,0.20000000298023224
train/clip_range,269216,0.20000000298023224
train/entropy_loss,262048,-5.593661785125732
train/entropy_loss,263072,-5.593698978424072
train/entropy_loss,264096,-5.593715190887451
train/entropy_loss,265120,-5.593448638916016
train/entropy_loss,266144,-5.593427658081055
train/entropy_loss,267168,-5.593709945678711
train/entropy_loss,268192,-5.593924522399902
train/entropy_loss,269216,-5.593097686767578
train/explained_variance,262048,0.0
train/explained_variance,263072,0.0
train/explained_variance,264096,-1.1920928955078125e-07
train/explained_variance,265120,-1.1920928955078125e-07
train/explained_variance,266144,-1.1920928955078125e-07
train/explained_variance,267168,-1.1920928955078125e-07
train/explained_variance,268192,0.0
train/explained_variance,269216,-2.384185791015625e-07
train/learning_rate,262048,0.0003000000142492354
train/learning_rate,263072,0.0003000000142492354
train/learning_rate,264096,0.0003000000142492354
train/learning_rate,265120,0.0003000000142492354
train/learning_rate,266144,0.0003000000142492354
train/learning_rate,267168,0.0003000000142492354
train/learning_rate,268192,0.0003000000142492354
train/learning_rate,269216,0.0003000000142492354
train/loss,262048,254559.875
train/loss,263072,228998.796875
train/loss,264096,232081.421875
train/loss,265120,236323.25
train/loss,266144,237863.640625
train/loss,267168,237627.78125
train/loss,268192,232035.390625
train/loss,269216,245919.0
train/policy_gradient_loss,262048,-0.0007106006378307939
train/policy_gradient_loss,263072,-0.0013945334358140826
train/policy_gradient_loss,264096,-0.001621438656002283
train/policy_gradient_loss,265120,-0.0004865848459303379
train/policy_gradient_loss,266144,-0.0003744398709386587
train/policy_gradient_loss,267168,-0.0007141975220292807
train/policy_gradient_loss,268192,-0.0007676476961933076
train/policy_gradient_loss,269216,-0.0004802526964340359
train/std,262048,0.9916574954986572
train/std,263072,0.9917318820953369
train/std,264096,0.9916656613349915
train/std,265120,0.991669774055481
train/std,266144,0.9916537404060364
train/std,267168,0.9919058680534363
train/std,268192,0.9916588664054871
train/std,269216,0.9916062355041504
train/value_loss,262048,487193.8125
train/value_loss,263072,466939.84375
train/value_loss,264096,472739.6875
train/value_loss,265120,468310.125
train/value_loss,266144,478439.125
train/value_loss,267168,457923.5625
train/value_loss,268192,469950.375
train/value_loss,269216,473561.375
