tag,step,value
custom/altitude_m,41024,4.625349521636963
custom/altitude_m,42048,5.267901420593262
custom/altitude_m,43072,5.073063373565674
custom/altitude_m,44096,4.5938334465026855
custom/bbox_center_error_norm,41024,0.0
custom/bbox_center_error_norm,42048,0.0
custom/bbox_center_error_norm,43072,0.0
custom/bbox_center_error_norm,44096,0.0
custom/bbox_center_error_x,41024,0.0
custom/bbox_center_error_x,42048,0.0
custom/bbox_center_error_x,43072,0.0
custom/bbox_center_error_x,44096,0.0
custom/bbox_center_error_y,41024,0.0
custom/bbox_center_error_y,42048,0.0
custom/bbox_center_error_y,43072,0.0
custom/bbox_center_error_y,44096,0.0
custom/flight_smoothness,41024,1.0
custom/flight_smoothness,42048,1.0
custom/flight_smoothness,43072,1.0
custom/flight_smoothness,44096,1.0
custom/match_pct,41024,27.586206436157227
custom/match_pct,42048,36.09756088256836
custom/match_pct,43072,45.0704231262207
custom/match_pct,44096,47.3880615234375
custom/none_pct,41024,0.0
custom/none_pct,42048,3.658536672592163
custom/none_pct,43072,0.0
custom/none_pct,44096,0.0
custom/pred_pct,41024,72.4137954711914
custom/pred_pct,42048,60.24390411376953
custom/pred_pct,43072,54.9295768737793
custom/pred_pct,44096,52.6119384765625
custom/reward,41024,25.477005004882812
custom/reward,42048,-36.10664367675781
custom/reward,43072,-19.062000274658203
custom/reward,44096,-21.433671951293945
custom/safety_intervention,41024,1.0
custom/safety_intervention,42048,0.0
custom/safety_intervention,43072,0.0
custom/safety_intervention,44096,1.0
rollout/ep_len_mean,41024,335.4599914550781
rollout/ep_len_mean,42048,340.5899963378906
rollout/ep_len_mean,43072,348.6700134277344
rollout/ep_len_mean,44096,350.739990234375
rollout/ep_rew_mean,41024,-387.2149353027344
rollout/ep_rew_mean,42048,-444.5596923828125
rollout/ep_rew_mean,43072,-531.1049194335938
rollout/ep_rew_mean,44096,-548.6737670898438
time/fps,41024,3.0
time/fps,42048,4.0
time/fps,43072,4.0
time/fps,44096,4.0
train/approx_kl,42048,1.614226493984461e-05
train/approx_kl,43072,0.00022823165636509657
train/approx_kl,44096,0.001096481690183282
train/clip_fraction,42048,0.0
train/clip_fraction,43072,0.0
train/clip_fraction,44096,0.0
train/clip_range,42048,0.20000000298023224
train/clip_range,43072,0.20000000298023224
train/clip_range,44096,0.20000000298023224
train/entropy_loss,42048,-5.574339866638184
train/entropy_loss,43072,-5.573673248291016
train/entropy_loss,44096,-5.571681499481201
train/explained_variance,42048,0.0780571699142456
train/explained_variance,43072,0.07157248258590698
train/explained_variance,44096,0.0036722421646118164
train/learning_rate,42048,0.0003000000142492354
train/learning_rate,43072,0.0003000000142492354
train/learning_rate,44096,0.0003000000142492354
train/loss,42048,40809.4765625
train/loss,43072,43112.36328125
train/loss,44096,35216.69140625
train/policy_gradient_loss,42048,-0.00015493942191824317
train/policy_gradient_loss,43072,-0.0006055879639461637
train/policy_gradient_loss,44096,-0.0016767930937930942
train/std,42048,0.9755848050117493
train/std,43072,0.9751949310302734
train/std,44096,0.9747600555419922
train/value_loss,42048,87344.9453125
train/value_loss,43072,82471.6875
train/value_loss,44096,69961.1484375
